evaluator,CONDITION,mean,sd,sem
anthropic/claude-haiku-4.5,direct,3.3059006211180124,0.5982364674850215,0.05092526998846683
anthropic/claude-haiku-4.5,indirect,3.1226708074534164,0.8197432105304041,0.06978117615091503
anthropic/claude-opus-4.8,direct,3.4611801242236027,0.521768038769765,0.04441584505439463
anthropic/claude-opus-4.8,indirect,3.2681159420289854,0.6320085424431036,0.05380013992500096
anthropic/claude-opus-5,direct,3.73343685300207,0.42600376598153816,0.036263848791960596
anthropic/claude-opus-5,indirect,3.063186813186813,0.4995219164925152,0.04252212936713798
anthropic/claude-sonnet-4.6,direct,3.8793995859213255,0.4466803856758664,0.03802395954684178
anthropic/claude-sonnet-4.6,indirect,3.472288580984233,0.7531409981594366,0.0641116193265383
anthropic/claude-sonnet-5,direct,3.749721293199554,0.40863372647400636,0.034785212834928206
anthropic/claude-sonnet-5,indirect,3.062430323299888,0.6646838198486934,0.05658164425358718
google/gemini-2.5-pro,direct,3.9425465838509317,0.3128246796157314,0.026629405150540453
google/gemini-2.5-pro,indirect,3.506728778467909,0.7479993516228873,0.06367393330722924
google/gemini-3.1-flash-lite,direct,3.940993788819876,0.26836160955724425,0.022844457274053355
google/gemini-3.1-flash-lite,indirect,3.8436853002070395,0.5468890611573719,0.046554288491073355
google/gemini-3.1-pro-preview,direct,3.9575569358178053,0.2001112607923899,0.0170346017627889
google/gemini-3.1-pro-preview,indirect,3.607142857142857,0.6073345094065564,0.05169974674874917
google/gemini-3.5-flash-lite,direct,3.877289377289377,0.3979028781472608,0.033871742363055825
google/gemini-3.5-flash-lite,indirect,3.8205128205128207,0.4706505828009345,0.04006443823147067
google/gemini-3.6-flash,direct,3.9187370600414084,0.22174907494923005,0.01887653482402433
google/gemini-3.6-flash,indirect,3.355141476880607,0.5075688154848447,0.04320712689909563
google/gemini-3.7-flash,direct,3.908902691511387,0.2700017539076653,0.022984075633021656
google/gemini-3.7-flash,indirect,3.4420289855072466,0.5192948275099319,0.044205311330706744
google/gemma-3-27b-it,direct,2.9761904761904763,0.6254647212141462,0.0532430928692742
google/gemma-3-27b-it,indirect,3.106060606060606,0.9136366535619806,0.1124608979003123
google/gemma-4-26b-a4b-it,direct,3.738923395445134,0.5997958044608487,0.05105800956689948
google/gemma-4-26b-a4b-it,indirect,3.457487922705314,0.8389285595649644,0.07141434151697058
human,direct,3.5878260869565217,0.275902604021318,0.023486389352649194
human,indirect,3.007536231884058,0.4365455162165376,0.03716122216527768
meta-llama/llama-3.3-70b-instruct,direct,3.6739130434782608,0.5699901422243336,0.0485207831036572
meta-llama/llama-3.3-70b-instruct,indirect,3.5258799171842647,0.6978261039385907,0.05940290283116586
meta-llama/llama-4-maverick,direct,3.636516563146998,0.6496168785361337,0.05529906103449966
meta-llama/llama-4-maverick,indirect,3.232574189095928,0.936552909641871,0.07972467807337508
meta-llama/llama-4-scout,direct,3.701388888888889,0.7103843545169123,0.08371959905462285
meta-llama/llama-4-scout,indirect,3.8055555555555554,0.3985497968034629,0.04696954399337487
mistralai/ministral-14b-2512,direct,3.6404682274247495,0.40503493847389443,0.03447886365613705
mistralai/ministral-14b-2512,indirect,3.5702341137123743,0.5835926114171459,0.04967870217713981
mistralai/mistral-large-2512,direct,3.9303312629399585,0.3925169743442582,0.033413263784421394
mistralai/mistral-large-2512,indirect,3.885610766045548,0.5059264336976792,0.04306731807686324
mistralai/mistral-small-2603,direct,3.71583850931677,0.559339496793093,0.04761413995564326
mistralai/mistral-small-2603,indirect,3.5890269151138714,0.680253477206927,0.057907021504374406
openai/gpt-5.4,direct,3.762422360248447,0.5320897926162417,0.04529449109146439
openai/gpt-5.4,indirect,3.0471014492753623,0.9196651723630344,0.07828709840854031
openai/gpt-5.4-mini,direct,3.3179911875564048,0.6566225047275196,0.05589541953924683
openai/gpt-5.4-mini,indirect,3.2362209046991657,0.8084023981049544,0.06881578208678762
openai/gpt-5.4-nano,direct,2.403589527598479,0.5678011857491049,0.048334446754148684
openai/gpt-5.4-nano,indirect,2.255109592146037,0.5582558471862226,0.04752189357515299
openai/gpt-5.5,direct,3.8271221532091095,0.3602897432712007,0.030669899692500252
openai/gpt-5.5,indirect,2.975672877846791,0.74802965657082,0.06367651303571344
