evaluator,evaluator_provider,evaluator_name,mean,sd,sem
anthropic/claude-haiku-4.5,anthropic,claude-haiku-4.5,3.214285714285714,0.7221386501605203,0.043467638722890035
anthropic/claude-opus-4.8,anthropic,claude-opus-4.8,3.364648033126294,0.5864890804879093,0.03530249414001266
anthropic/claude-opus-5,anthropic,claude-opus-5,3.398311833094442,0.5722186754611309,0.03444351669849857
anthropic/claude-sonnet-4.6,anthropic,claude-sonnet-4.6,3.675844083452779,0.650817792043802,0.03917462754929492
anthropic/claude-sonnet-5,anthropic,claude-sonnet-5,3.4060758082497213,0.6494673303143171,0.03909333930561306
google/gemini-2.5-pro,google,gemini-2.5-pro,3.7246376811594204,0.6124891108577428,0.036867512058176816
google/gemini-3.1-flash-lite,google,gemini-3.1-flash-lite,3.892339544513457,0.4327284431543356,0.026047191391805738
google/gemini-3.1-pro-preview,google,gemini-3.1-pro-preview,3.782349896480331,0.4842680470508286,0.029149510983196708
google/gemini-3.5-flash-lite,google,gemini-3.5-flash-lite,3.848901098901099,0.435932959149351,0.026240080587699197
google/gemini-3.6-flash,google,gemini-3.6-flash,3.6369392684610076,0.48222434653192997,0.029026494667986992
google/gemini-3.7-flash,google,gemini-3.7-flash,3.6754658385093166,0.47471265131112106,0.0285743437493483
google/gemma-3-27b-it,google,gemma-3-27b-it,3.018207282913165,0.731439778411749,0.05121102771879164
google/gemma-4-26b-a4b-it,google,gemma-4-26b-a4b-it,3.5982056590752243,0.7414295757788163,0.04462881599157638
human/human,human,human,3.2976811594202897,0.46621070516170904,0.028062586729305183
meta-llama/llama-3.3-70b-instruct,meta-llama,llama-3.3-70b-instruct,3.599896480331263,0.6402712699143495,0.03853980151747388
meta-llama/llama-4-maverick,meta-llama,llama-4-maverick,3.4345453761214633,0.829545270712027,0.04993275754396636
meta-llama/llama-4-scout,meta-llama,llama-4-scout,3.7534722222222223,0.5763294990981215,0.048027458258176794
mistralai/ministral-14b-2512,mistralai,ministral-14b-2512,3.605351170568562,0.5026300778026632,0.03025477535142008
mistralai/mistral-large-2512,mistralai,mistral-large-2512,3.907971014492753,0.45251724100347146,0.027238337047110765
mistralai/mistral-small-2603,mistralai,mistral-small-2603,3.652432712215321,0.6248419444685249,0.037611065264307096
openai/gpt-5.4,openai,gpt-5.4,3.4047619047619047,0.831135010134406,0.05002844861223995
openai/gpt-5.4-mini,openai,gpt-5.4-mini,3.2771060461277854,0.7362332008164462,0.044316030975177154
openai/gpt-5.4-nano,openai,gpt-5.4-nano,2.329349559872258,0.5669238833193995,0.03412480766405149
openai/gpt-5.5,openai,gpt-5.5,3.4013975155279503,0.7247935455239213,0.043627444644478285
openai/gpt-5.6-luna,openai,gpt-5.6-luna,3.1780538302277432,0.7672443705024178,0.04618268403409377
openai/gpt-5.6-sol,openai,gpt-5.6-sol,3.4073498964803313,0.7698111673759268,0.0463371870497514
openai/gpt-5.6-terra,openai,gpt-5.6-terra,3.533902691511387,0.7280087267281611,0.04382097581052715
qwen/qwen3.7-flash,qwen,qwen3.7-flash,3.2293771043771047,0.7427711116214937,0.04470956696000931
qwen/qwen3.7-max,qwen,qwen3.7-max,3.9585921325051765,0.2507593801459848,0.015093940949066537
qwen/qwen3.7-plus,qwen,qwen3.7-plus,3.8668478260869565,0.3594453743796598,0.021636069016214517
qwen/qwen3.8-2.4t-a95b,qwen,qwen3.8-2.4t-a95b,3.1669453734671125,0.6095703718452502,0.0366918246152
qwen/qwen3.8-27b,qwen,qwen3.8-27b,3.0221417069243155,0.7914821469903003,0.047641626733791735
qwen/qwen3.8-max,qwen,qwen3.8-max,3.201067048893136,0.7575717370593965,0.04560045991978174
