evaluator,CONDITION,mean,sd,sem
anthropic/claude-haiku-4.5,direct,0.9565217391304348,0.20467404092265892,0.017423011401219678
anthropic/claude-haiku-4.5,indirect,0.927536231884058,0.260198721345969,0.02214958608408319
anthropic/claude-opus-4.8,direct,0.9855072463768116,0.11994568395899624,0.010210454680642042
anthropic/claude-opus-4.8,indirect,0.9565217391304348,0.20467404092265898,0.017423011401219685
anthropic/claude-opus-5,direct,1.0,0.0,0.0
anthropic/claude-opus-5,indirect,0.9855072463768116,0.11994568395899623,0.010210454680642042
anthropic/claude-sonnet-4.6,direct,0.9927536231884058,0.08512565307587486,0.007246376811594203
anthropic/claude-sonnet-4.6,indirect,0.9855072463768116,0.11994568395899623,0.010210454680642042
anthropic/claude-sonnet-5,direct,0.9927536231884058,0.08512565307587486,0.007246376811594203
anthropic/claude-sonnet-5,indirect,0.9855072463768116,0.11994568395899623,0.010210454680642042
google/gemini-2.5-pro,direct,1.0,0.0,0.0
google/gemini-2.5-pro,indirect,0.9782608695652174,0.14636178075710754,0.012459142172296794
google/gemini-3.1-flash-lite,direct,0.9637681159420289,0.18754737756098067,0.015965092997546157
google/gemini-3.1-flash-lite,indirect,0.9057971014492754,0.29317494738220545,0.024956708861395487
google/gemini-3.1-pro-preview,direct,1.0,0.0,0.0
google/gemini-3.1-pro-preview,indirect,0.9927536231884058,0.08512565307587486,0.007246376811594203
google/gemini-3.5-flash-lite,direct,0.9347826086956522,0.24780854804396069,0.021094864490026465
google/gemini-3.5-flash-lite,indirect,0.9492753623188406,0.22023424053135454,0.018747583554900867
google/gemini-3.6-flash,direct,1.0,0.0,0.0
google/gemini-3.6-flash,indirect,0.9855072463768116,0.11994568395899625,0.010210454680642043
google/gemini-3.7-flash,direct,1.0,0.0,0.0
google/gemini-3.7-flash,indirect,0.9927536231884058,0.08512565307587486,0.007246376811594203
google/gemma-3-27b-it,direct,0.8623188405797102,0.3458202770544313,0.029438176931138448
google/gemma-3-27b-it,indirect,0.8181818181818182,0.38865016537877745,0.04783952832583796
google/gemma-4-26b-a4b-it,direct,0.9710144927536232,0.1683769227346635,0.014333195510694351
google/gemma-4-26b-a4b-it,indirect,0.9420289855072463,0.23453995790576446,0.0199653670891164
human,direct,1.0,0.0,0.0
human,indirect,1.0,0.0,0.0
meta-llama/llama-3.3-70b-instruct,direct,0.927536231884058,0.26019872134596905,0.022149586084083198
meta-llama/llama-3.3-70b-instruct,indirect,0.9202898550724637,0.27183062037544903,0.023139759085480313
meta-llama/llama-4-maverick,direct,0.9420289855072463,0.23453995790576446,0.0199653670891164
meta-llama/llama-4-maverick,indirect,0.9347826086956522,0.2478085480439607,0.02109486449002647
meta-llama/llama-4-scout,direct,0.9027777777777778,0.29833916903569274,0.035159608253116335
meta-llama/llama-4-scout,indirect,0.9166666666666666,0.2783249696530916,0.032800912235873524
mistralai/ministral-14b-2512,direct,0.9710144927536232,0.1683769227346635,0.014333195510694351
mistralai/ministral-14b-2512,indirect,0.9420289855072463,0.23453995790576443,0.019965367089116396
mistralai/mistral-large-2512,direct,0.9782608695652174,0.1463617807571076,0.012459142172296798
mistralai/mistral-large-2512,indirect,0.9492753623188406,0.22023424053135454,0.018747583554900867
mistralai/mistral-small-2603,direct,0.8913043478260869,0.3123908885998894,0.026592478407018456
mistralai/mistral-small-2603,indirect,0.9130434782608695,0.28279782749259,0.024073349753745324
openai/gpt-5.4,direct,0.9927536231884058,0.08512565307587486,0.007246376811594203
openai/gpt-5.4,indirect,0.9565217391304348,0.20467404092265903,0.017423011401219688
openai/gpt-5.4-mini,direct,0.9565217391304348,0.20467404092265898,0.01742301140121968
openai/gpt-5.4-mini,indirect,0.9202898550724637,0.27183062037544903,0.023139759085480313
openai/gpt-5.4-nano,direct,0.8840579710144928,0.3213217176753973,0.027352721064580077
openai/gpt-5.4-nano,indirect,0.8043478260869565,0.39814708891476036,0.033892530964127386
openai/gpt-5.5,direct,1.0,0.0,0.0
openai/gpt-5.5,indirect,0.9782608695652174,0.14636178075710754,0.012459142172296794
openai/gpt-5.6-luna,direct,0.9855072463768116,0.11994568395899625,0.010210454680642043
openai/gpt-5.6-luna,indirect,0.9347826086956522,0.24780854804396069,0.021094864490026465
openai/gpt-5.6-sol,direct,0.9927536231884058,0.08512565307587486,0.007246376811594203
openai/gpt-5.6-sol,indirect,0.9855072463768116,0.11994568395899623,0.010210454680642042
openai/gpt-5.6-terra,direct,0.9855072463768116,0.11994568395899623,0.010210454680642042
openai/gpt-5.6-terra,indirect,0.9492753623188406,0.2202342405313545,0.018747583554900863
qwen/qwen3.7-flash,direct,0.9420289855072463,0.2345399579057644,0.019965367089116396
qwen/qwen3.7-flash,indirect,0.7246376811594203,0.44832398253304684,0.038163871802702726
qwen/qwen3.7-max,direct,1.0,0.0,0.0
qwen/qwen3.7-max,indirect,0.9710144927536232,0.16837692273466348,0.01433319551069435
qwen/qwen3.7-plus,direct,0.9927536231884058,0.08512565307587486,0.007246376811594203
qwen/qwen3.7-plus,indirect,0.9710144927536232,0.1683769227346635,0.014333195510694353
qwen/qwen3.8-2.4t-a95b,direct,1.0,0.0,0.0
qwen/qwen3.8-2.4t-a95b,indirect,0.9855072463768116,0.11994568395899623,0.010210454680642042
qwen/qwen3.8-27b,direct,0.9927536231884058,0.08512565307587486,0.007246376811594203
qwen/qwen3.8-27b,indirect,0.9637681159420289,0.1875473775609807,0.015965092997546157
qwen/qwen3.8-max,direct,1.0,0.0,0.0
qwen/qwen3.8-max,indirect,0.9347826086956522,0.2478085480439607,0.02109486449002647
